Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
2;10010010;PBNKDEFF100;Postbank;Berlin;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;30.04.2015
3;10020200;BHFBDEFF100;BHF-Bank AG;Berlin;Bank-Verlag GmbH;BdB;hbciserver.bankverlag.de;nicht unterstützt;3.0;;ja;;ja;;ja;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;
4;10020890;HYVEDEMM488;UniCredit Bank - HypoVereinsbank AG;Berlin;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
5;10020890;HYVEDEMM488;UniCredit Bank - HypoVereinsbank AG;Kleinmachnow;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
6;10020890;HYVEDEMM488;UniCredit Bank - HypoVereinsbank AG;Oranienburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
7;10020890;HYVEDEMM488;UniCredit Bank - HypoVereinsbank AG;Brandenburg an der Havel;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
8;10020890;HYVEDEMM488;UniCredit Bank - HypoVereinsbank AG;Königs Wusterhausen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
9;10020890;HYVEDEMM488;UniCredit Bank - HypoVereinsbank AG;Fürstenwalde /Spree;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
10;10030500;LOEBDEBBXXX;Bankhaus Löbbecke (M.M.Warburg);Hamburg;B+S Banksysteme AG;BdB;www.warburg-bank.de;188.21.13.34;3.0;;;ja;ja;;ja;;;ja;ja;ja;;;;https://www.warburg-bank.de/fints;FinTS V3.0;15.02.2019
11;10030600;GENODEF1OGK;Bankhaus Kruber;Berlin;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009
